:@computed_region_rxqg_mtj9,filed_date,record_id,zipcode,street_number,:@computed_region_ajp5_b2md,existing_use,:@computed_region_yftq_j783,:@computed_region_bh8s_q3mv,:@computed_region_uruc_drv6,block,:@computed_region_jx4q_fizf,permit_type_definition,:@computed_region_qgnn_b9vv,neighborhoods_analysis_boundaries,supervisor_district,plansets,estimated_cost,description,proposed_use,revised_cost,permit_creation_date,street_name,street_suffix,permit_number,status_date,status,number_of_existing_stories,:@computed_region_26cr_cadq,lot,number_of_proposed_stories,:@computed_region_6qbp_sg9q,permit_type,location_latitude,location_human_address,location_needs_recoding,location_longitude,existing_units,proposed_construction_type,permit_expiration_date,issued_date,existing_construction_type,existing_construction_type_description,proposed_construction_type_description,proposed_units,fire_only_permit,street_number_suffix,unit,structural_notification,site_permit,unit_suffix,completed_date
"9","2020-09-11T00:00:00.000","1598568165798","94105","425","8","vacant lot","6","28855","3","3748","2","otc alterations permit","1","Financial District/South Beach","6","0","1","to obtain final inspection for work approved under permit application number 201502269460; all work is complete","vacant lot","1","2020-09-11T00:00:00.000","Folsom","St","202009113956","2020-09-11T00:00:00.000","filed","0","10","029","0","30","8","37.787408106176045","{\"address\": \"\", \"city\": \"\", \"state\": \"\", \"zip\": \"\"}",false,"-122.39380004606554",,,,,,,,,,,,,,,
"3","2020-09-11T00:00:00.000","1598533138192","94116","2795","35","1 family dwelling","1","29491","4","2507","5","otc alterations permit","10","Sunset/Parkside","4","0","12900","re-roofing","1 family dwelling","12900","2020-09-11T00:00:00.000","38th","Av","202009113922","2020-09-11T00:00:00.000","issued","2","7","018","2","40","8","37.734826112679784","{\"address\": \"\", \"city\": \"\", \"state\": \"\", \"zip\": \"\"}",false,"-122.49578299184283","1","5","2021-03-11T00:00:00.000Z","2020-09-11T00:00:00.000","5","wood frame (5)","wood frame (5)","1",,,,,,,
"2","2020-09-11T00:00:00.000","1598545102783","94121","451","29","2 family dwelling","11","55","9","1524","9","otc alterations permit","8","Outer Richmond","1","0","3000","repair siding of home (back of house) 1400 sf","2 family dwelling","3000","2020-09-11T00:00:00.000","20th","Av","202009113934","2020-09-11T00:00:00.000","issued","2","4","008B","2","8","8","37.77929306147348","{\"address\": \"\", \"city\": \"\", \"state\": \"\", \"zip\": \"\"}",false,"-122.47963160520926","2","5","2021-01-11T00:00:00.000Z","2020-09-11T00:00:00.000","5","wood frame (5)","wood frame (5)","2",,,,,,,
"3","2020-09-11T00:00:00.000","1598563133816","94116","2422","35","1 family dwelling","1","29491","4","2386","5","otc alterations permit","10","Sunset/Parkside","4","0","8000","reroofing","1 family dwelling","8000","2020-09-11T00:00:00.000","40th","Av","202009113951","2020-09-11T00:00:00.000","issued","2","7","039","2","39","8","37.74158327569967","{\"address\": \"\", \"city\": \"\", \"state\": \"\", \"zip\": \"\"}",false,"-122.49782741525843","1","5","2021-03-11T00:00:00.000Z","2020-09-11T00:00:00.000","5","wood frame (5)","wood frame (5)","1",,,,,,,
"1","2020-09-11T00:00:00.000","1598551236137","94115","2329","30","apartments","13","29490","11","0637","6","otc alterations permit","4","Pacific Heights","2","2","171701","fire alarm replacement - includes installing a new notifier intelligent, addressable nfw-50 fire alarm system and new field devices per pre-application agreement with sffd.","apartments","0","2020-09-11T00:00:00.000","Sacramento","St","202009113937","2020-09-11T00:00:00.000","filed","3","6","017","3","102","8","37.7898512418434","{\"address\": \"\", \"city\": \"\", \"state\": \"\", \"zip\": \"\"}",false,"-122.43169054600492","12","5",,,"5","wood frame (5)","wood frame (5)","12","Y",,,,,,
"5","2020-09-11T00:00:00.000","1598536456274","94114","73","5","1 family dwelling","15","28862","1","2647","7","otc alterations permit","3","Castro/Upper Market","8","0","15000","rear bldg bathroom remodel - replace plumbing fixtures in existing location. no new locations; new tile work; no electrical work","1 family dwelling","15000","2020-09-11T00:00:00.000","Collingwood","St","202009113925","2020-09-11T00:00:00.000","issued","2","5","018","2","38","8","37.76128513166054","{\"address\": \"\", \"city\": \"\", \"state\": \"\", \"zip\": \"\"}",false,"-122.43583999999036","1","5","2021-03-11T00:00:00.000Z","2020-09-11T00:00:00.000","5","wood frame (5)","wood frame (5)","1",,"B",,,,,
"10","2020-09-11T00:00:00.000","1598578390418","94111","1","8","office","4","28860","2","0266","1","otc alterations permit","6","Financial District/South Beach","3","2","22650","22nd floor tenant improvement: add eight, relocate 82 and plug 8 sprinklers to conform with the new wall/ceiling layout of the tenant improvemen. ref 201912230375","office","0","2020-09-11T00:00:00.000","Front","St","202009113958","2020-09-11T00:00:00.000","filed","38","3","009","38","108","8","37.79175821447036","{\"address\": \"\", \"city\": \"\", \"state\": \"\", \"zip\": \"\"}",false,"-122.39891194475122",,"1",,,"1","constr type 1","constr type 1",,"Y",,,,,,
"7","2020-09-11T00:00:00.000","1598608248367","94110","3124","20","apartments","2","28859","7","3610","7","otc alterations permit","3","Mission","9","2","1","revision to permit application #2017-07-19-2332. revise existing wall layout to match existing conditions. revise existing foundation to brick to match existing conditions. revise shearwall layout.","apartments","0","2020-09-11T00:00:00.000","21st","St","202009113996","2020-09-11T00:00:00.000","filed","3","2","013","3","53","8","37.75734562006808","{\"address\": \"\", \"city\": \"\", \"state\": \"\", \"zip\": \"\"}",false,"-122.41738425591667","7","5",,,"5","wood frame (5)","wood frame (5)","7",,,,,,,
"6","2020-09-11T00:00:00.000","1598556196108","94112","470","7","1 family dwelling","9","28861","8","6093","4","otc alterations permit","9","Excelsior","11","0","12000","reroofing","1 family dwelling","12000","2020-09-11T00:00:00.000","Munich","St","202009113944","2020-09-11T00:00:00.000","issued","2","1","010D","2","90","8","37.71833743325669","{\"address\": \"\", \"city\": \"\", \"state\": \"\", \"zip\": \"\"}",false,"-122.42908410999712","1","5","2021-03-11T00:00:00.000Z","2020-09-11T00:00:00.000","5","wood frame (5)","wood frame (5)","1",,,,,,,
"9","2020-09-11T00:00:00.000","1598601470455","94107","102","8","residential hotel","6","28856","3","3775","2","otc alterations permit","1","Financial District/South Beach","6","2","50000","replace old fire alarm system with new fire alarm system.","residential hotel","0","2020-09-11T00:00:00.000","South Park",,"202009113988","2020-09-11T00:00:00.000","filed","4","10","057","4","31","8","37.78176297273884","{\"address\": \"\", \"city\": \"\", \"state\": \"\", \"zip\": \"\"}",false,"-122.39434237816295","41","5",,,"5","wood frame (5)","wood frame (5)","41","Y",,,,,,
"4","2020-09-11T00:00:00.000","1598538129970","94116","2259","41","1 family dwelling","1","29491","5","2206","5","otc alterations permit","10","West of Twin Peaks","7","0","35000","replace front windows same size and location. replace window trim. repair and replace front siding. marvin wood clad exterior","1 family dwelling","35000","2020-09-11T00:00:00.000","09th","Av","202009113927","2020-09-11T00:00:00.000","issued","3","8","019","3","44","8","37.74750567602951","{\"address\": \"\", \"city\": \"\", \"state\": \"\", \"zip\": \"\"}",false,"-122.46651166018376","1","5","2021-09-11T00:00:00.000Z","2020-09-11T00:00:00.000","5","wood frame (5)","wood frame (5)","1",,,,,,,
"2","2020-09-11T00:00:00.000","1598552470511","94121","506","29","2 family dwelling","11","55","9","1499","9","otc alterations permit","8","Outer Richmond","1","0","12500","replace 2 front window. box frame window replacement. windows will be same style. repair and replace any dry rot","2 family dwelling","12500","2020-09-11T00:00:00.000","46th","Av","202009113940","2020-09-11T00:00:00.000","filed","3","4","047","3","6","8","37.778799151198655","{\"address\": \"\", \"city\": \"\", \"state\": \"\", \"zip\": \"\"}",false,"-122.50697182991358","2","5",,,"5","wood frame (5)","wood frame (5)","2",,,"0",,,,
"5","2020-09-11T00:00:00.000","1598558415601","94114","379","5","apartments","2","28862","1","2699","7","otc alterations permit","3","Castro/Upper Market","8","0","30000","kitchen and bath remodel on 1st fl","apartments","30000","2020-09-11T00:00:00.000","Douglass","St","202009113946","2020-09-11T00:00:00.000","issued","3","5","029","3","115","8","37.75783551501161","{\"address\": \"\", \"city\": \"\", \"state\": \"\", \"zip\": \"\"}",false,"-122.43874636150262","3","5","2021-09-11T00:00:00.000Z","2020-09-11T00:00:00.000","5","wood frame (5)","wood frame (5)","3",,,"0",,,,
"4","2020-09-11T00:00:00.000","1598586507987","94132","3251","16","retail sales","1","64","5","7295","5","otc alterations permit","10","Lakeshore","7","2","5500","space #315: 4 duct detector, 1 smoke detector, 2 ceiling strobe, 1 ceiling speaker strobe, to be added to existing facu.","retail sales","0","2020-09-11T00:00:00.000","20th","Av","202009113977","2020-09-11T00:00:00.000","filed","3","8","038","3","41","8","37.729021627534344","{\"address\": \"\", \"city\": \"\", \"state\": \"\", \"zip\": \"\"}",false,"-122.47673939361488","0","3",,,"3","constr type 3","constr type 3","0","Y",,,,,,
